Timestamp (ms),F_RPM_SEC
4304,2942.9075
4311,2942.9075
4318,2946.376
4325,2942.9075
4332,2842.5242
4339,2944.6406
4345,2946.376
4353,2960.3313
4360,2944.6406
4367,2842.5242
4374,2946.376
4380,2942.9075
4387,2842.5242
4395,2946.376
4402,2946.376
4409,2842.5242
4416,2946.376
4423,2842.5242
4429,2942.9075
4436,2842.5242
4444,2939.4473
4451,2844.1414
4458,2942.9075
4465,2845.7598
4472,2842.5242
4480,2942.9075
4487,2842.5242
4494,2842.5242
4501,2942.9075
4507,2858.7764
4514,2855.511
4521,2842.5242
4529,2934.2722
4536,2760.9055
4543,2941.1765
4550,2844.1414
4557,2842.5242
4564,2842.5242
4572,2839.296
4579,2858.7764
4586,2842.5242
4593,2849.003
4600,2862.049
4608,2745.7441
4615,2845.7598
4622,2845.7598
4629,2845.7598
4636,2842.5242
4644,2767.0168
4652,2845.7598
4659,2842.5242
4666,2842.5242
4673,2745.7441
4680,2840.909
4687,2839.296
4695,2840.909
4702,2751.7888
4709,2844.1414
4716,2748.763
4723,2842.5242
4731,2721.829
4738,2912.056
4746,2735.2297
4753,2836.075
4760,2748.763
4767,2745.7441
4774,2845.7598
4782,2748.763
4790,2748.763
4797,2842.5242
4804,2748.763
4811,2748.763
4818,2748.763
4827,2747.253
4834,2844.1414
4841,2748.763
4848,2748.763
4855,2745.7441
4864,2748.763
4871,2751.7888
4878,2750.2751
4885,2748.763
4893,2747.253
4900,2662.407
4908,2748.763
4915,2751.7888
4923,2750.2751
4930,2658.1606
4937,2753.304
4945,2744.237
4953,2660.9897
4960,2748.763
4968,2748.763
4975,2663.8254
4982,2750.2751
4990,2660.9897
4998,2660.9897
5005,2748.763
5013,2660.9897
5020,2660.9897
5028,2748.763
5036,2658.1606
5044,2662.407
5051,2663.8254
5059,2662.407
5066,2663.8254
5073,2662.407
5082,2658.1606
5090,2581.3113
5097,2662.407
5105,2660.9897
5112,2578.6487
5121,2660.9897
5128,2578.6487
5136,2660.9897
5144,2578.6487
5151,2575.992
5159,2660.9897
5168,2581.3113
5175,2582.6445
5183,2578.6487
5191,2513.826
5199,2579.9795
5207,2581.3113
5215,2582.6445
5223,2498.7502
5231,2575.992
5239,2505.01
5246,2503.7556
5255,2575.992
5263,2497.5022
5271,2488.8005
5279,2498.7502
5287,2483.8547
5296,2478.929
5304,2544.529
5312,2440.2146
5320,2481.3896
5328,2407.318
5337,2496.2559
5345,2400.384
5354,2409.6387
5362,2481.3896
5370,2402.6912
5379,2414.2927
5388,2352.941
5396,2430.7244
5404,2387.7747
5412,2407.318
5422,2348.5205
5430,2348.5205
5439,2306.2732
5447,2371.9165
5456,2350.7288
5465,2324.5002
5474,2298.8506
5482,2323.42
5491,2293.578
5500,2258.3557
5510,2259.3762
5518,2257.3362
5527,2299.908
5536,2221.235
5545,2160.7607
5555,2307.3372
5564,2158.8948
5573,2217.295
5582,2167.3167
5593,2098.1956
5602,2171.081
5611,2230.1516
5620,2128.5654
5629,2152.3892
5640,2028.3976
5649,2120.4412
5661,1672.2408
5675,1592.8641
5684,2125.8503
5694,2008.8389
5704,1960.7843
5714,2039.9835
5724,2032.5201
5735,1910.5846
5745,1984.1268
5755,1968.5039
5766,1872.6592
5779,1553.2773
5790,1851.8519
5804,1492.0919
5815,1830.8312
5826,1825.4839
5837,1807.0112
5849,1794.0438
5860,1795.977
5874,1404.889
5885,1722.3563
5898,1721.1704
5915,1120.3226
5927,1689.1893
5940,1624.9595
5958,1076.8899
5970,1623.9038
5984,1562.0118
6003,1037.1293
6020,1219.215
6043,855.72485
6129,233.67763
7129,0.0
