Timestamp (ms), GPS LATITUDE, GPS LONGITUDE, GPS SPEED
480198,43.261986,-79.93019,8.94516
480298,43.261986,-79.93019,8.87108
480398,43.261986,-79.9302,8.797
480498,43.261986,-79.9302,8.68588
480598,43.261997,-79.9302,8.37104
480698,43.261997,-79.9302,8.13028
480798,43.261997,-79.9302,7.9636
480898,43.261997,-79.9302,7.8524795
480998,43.261997,-79.9302,7.8895206
481098,43.262005,-79.9302,7.94508
481198,43.262005,-79.9302,7.9636
481298,43.262005,-79.9302,7.94508
481398,43.262005,-79.9302,7.9636
481498,43.262012,-79.9302,7.98212
481598,43.262012,-79.93019,8.09324
481698,43.262012,-79.93019,8.29696
481798,43.262012,-79.93019,8.57476
481898,43.26202,-79.93018,8.889601
481998,43.26202,-79.93018,9.18592
482098,43.26202,-79.93018,9.38964
482198,43.26202,-79.93018,9.55632
482298,43.262028,-79.93018,9.76004
482398,43.262028,-79.930176,9.96376
482498,43.262028,-79.930176,10.24156
482598,43.262035,-79.930176,10.59344
482698,43.262035,-79.93017,10.94532
482798,43.262035,-79.93017,11.2972
482898,43.262043,-79.93016,11.70464
482998,43.262043,-79.93016,12.11208
483098,43.26205,-79.93015,12.519521
483198,43.26205,-79.93015,12.797319
483298,43.262062,-79.930145,13.09364
483398,43.262062,-79.930145,13.40848
483498,43.262062,-79.93014,13.686279
483598,43.26207,-79.93014,13.96408
483698,43.26207,-79.93014,14.27892
483798,43.262077,-79.93013,15.001201
483898,43.262085,-79.93012,17.29768
483998,43.2621,-79.93011,19.74232
484098,43.262108,-79.9301,21.09428
484198,43.26212,-79.93009,21.0202
484298,43.26212,-79.930084,20.76092
484398,43.26212,-79.930084,20.50164
484498,43.26212,-79.93008,20.26088
484598,43.262127,-79.93008,19.98308
484698,43.262127,-79.93007,19.66824
484798,43.262127,-79.93007,19.29784
484898,43.262127,-79.93006,18.87188
484998,43.262135,-79.93005,18.464441
485098,43.262135,-79.93005,18.019958
485198,43.262135,-79.930046,17.74216
485325,43.262135,-79.930046,17.464361
485441,43.262135,-79.93003,16.87172
485525,43.262135,-79.93003,16.87172
485625,43.262135,-79.93003,16.5754
485725,43.262135,-79.93002,16.22352
485725,43.262135,-79.93002,16.22352
485825,43.262135,-79.93002,15.853121
485825,43.262135,-79.93002,15.853121
485925,43.262135,-79.930016,15.445681
485925,43.262135,-79.930016,15.445681
486025,43.262135,-79.930016,14.871559
486025,43.262135,-79.930016,14.871559
486125,43.262127,-79.93,14.538199
486125,43.262127,-79.93,14.538199
486225,43.262127,-79.93,14.056681
486225,43.262127,-79.93,14.056681
486325,43.262127,-79.929985,13.704801
486325,43.262127,-79.929985,13.704801
486425,43.26212,-79.92998,13.50108
486525,43.26212,-79.92998,13.44552
486525,43.26212,-79.92998,13.44552
486625,43.26212,-79.92997,13.31588
486725,43.26212,-79.92996,13.11216
486725,43.26212,-79.92996,13.11216
486825,43.26212,-79.92996,12.8714
486825,43.26212,-79.92996,12.8714
486925,43.262108,-79.929955,12.61212
487025,43.26212,-79.929955,12.07504
487025,43.26212,-79.929955,12.07504
487125,43.26212,-79.929955,11.2972
487125,43.26212,-79.929955,11.2972
487225,43.26212,-79.92995,11.130521
487225,43.26212,-79.92995,11.130521
487325,43.26212,-79.92995,10.98236
487325,43.26212,-79.92995,10.98236
487425,43.26212,-79.92994,10.778641
487425,43.26212,-79.92994,10.778641
487525,43.26212,-79.92994,10.48232
487625,43.26212,-79.92994,10.0934
487625,43.26212,-79.92994,10.0934
487725,43.26212,-79.92994,9.55632
487725,43.26212,-79.92994,9.55632
487825,43.262108,-79.92994,8.90812
487825,43.262108,-79.92994,8.90812
487925,43.262108,-79.92994,8.20436
487925,43.262108,-79.92994,8.20436
488025,43.262108,-79.92994,7.48208
488125,43.2621,-79.92995,6.70424
488225,43.2621,-79.92995,5.94492
488225,43.2621,-79.92995,5.94492
488325,43.262093,-79.92995,4.70408
488325,43.262093,-79.92995,4.70408
488425,43.262093,-79.92995,4.70408
488425,43.262093,-79.92995,4.70408
488525,43.262085,-79.92995,4.31516
488525,43.262085,-79.92995,4.31516
488625,43.262085,-79.92995,4.0188403
488625,43.262085,-79.92995,4.0188403
488725,43.262085,-79.92995,3.7595599
488825,43.262085,-79.92995,3.44472
488825,43.262085,-79.92995,3.44472
488925,43.262005,-79.929955,8.94516
489025,43.261997,-79.929955,9.667439
489125,43.261986,-79.929955,10.4638
489125,43.261986,-79.929955,10.4638
489225,43.26198,-79.929955,12.05652
489225,43.26198,-79.929955,12.05652
489325,43.26197,-79.92997,16.334639
489325,43.26197,-79.92997,16.334639
489425,43.26197,-79.929985,20.96464
489525,43.26192,-79.929985,31.206202
489525,43.26192,-79.929985,31.206202
489625,43.261906,-79.93,33.65084
489625,43.261906,-79.93,33.65084
489725,43.26189,-79.93001,34.42868
489725,43.26189,-79.93001,34.42868
489825,43.261883,-79.930016,35.280598
489825,43.261883,-79.930016,35.280598
489925,43.261883,-79.93002,35.539883
490025,43.261875,-79.93004,35.706562
490025,43.261875,-79.93004,35.706562
490125,43.261875,-79.930046,35.7436
490125,43.261875,-79.930046,35.7436
490225,43.261864,-79.93006,35.8362
490325,43.261856,-79.93007,35.96584
490325,43.261856,-79.93007,35.96584
490425,43.261856,-79.93008,36.317722
490525,43.26185,-79.930084,36.87332
490525,43.26185,-79.930084,36.87332
490625,43.26185,-79.9301,37.447437
490725,43.26184,-79.93011,37.98452
490725,43.26184,-79.93011,37.98452
490825,43.261833,-79.93013,38.336403
490825,43.261833,-79.93013,38.336403
490925,43.261826,-79.93014,38.65124
490925,43.261826,-79.93014,38.65124
491025,43.261826,-79.93015,39.0772
491025,43.261826,-79.93015,39.0772
491125,43.261818,-79.93016,39.52168
491125,43.261818,-79.93016,39.52168
491225,43.261806,-79.93017,39.79948
491325,43.261806,-79.93018,39.818
491325,43.261806,-79.93018,39.818
491425,43.261806,-79.9302,39.65132
491425,43.261806,-79.9302,39.65132
491525,43.2618,-79.93021,39.5402
491525,43.2618,-79.93021,39.5402
491625,43.261806,-79.93022,39.48464
491625,43.261806,-79.93022,39.48464
491725,43.261806,-79.930244,39.59576
491725,43.261806,-79.930244,39.59576
491825,43.261806,-79.93025,39.706882
491825,43.261806,-79.93025,39.706882
491925,43.261806,-79.93027,39.818
491925,43.261806,-79.93027,39.818
492025,43.261806,-79.93028,40.11432
492025,43.261806,-79.93028,40.11432
492125,43.261806,-79.9303,40.29952
492125,43.261806,-79.9303,40.29952
492225,43.261806,-79.93031,40.31804
492225,43.261806,-79.93031,40.31804
492325,43.261806,-79.93033,40.281
492325,43.261806,-79.93033,40.281
492425,43.2618,-79.930336,40.29952
492425,43.2618,-79.930336,40.29952
492525,43.2618,-79.93035,40.336563
492525,43.2618,-79.93035,40.336563
