Timestamp (ms),F_RPM_PRIM
343594,2025.0
343605,2328.0
343615,2328.0
343625,2328.0
343635,2328.0
343645,2328.0
343657,2220.0
343667,2220.0
343677,2220.0
343687,2220.0
343697,2220.0
343710,2038.0
343720,2038.0
343730,2038.0
343740,2038.0
343750,2038.0
343762,2038.0
343772,2099.0
343782,2099.0
343792,2099.0
343802,2099.0
343815,2099.0
343825,2099.0
343835,1969.0
343845,1969.0
343855,1969.0
343867,1969.0
343877,1969.0
343887,1969.0
343898,1742.0
343908,1742.0
343921,1742.0
343931,1742.0
343941,1742.0
343952,2192.0
343962,2192.0
343972,2192.0
343982,2192.0
343992,2192.0
344005,2192.0
344015,1965.0
344025,1965.0
344035,1965.0
344045,1965.0
344058,1965.0
344068,1965.0
344078,1870.0
344088,1870.0
344098,1870.0
344110,1870.0
344120,1870.0
344130,1870.0
344140,1870.0
344150,1725.0
344162,1725.0
344172,1725.0
344182,1725.0
344192,1725.0
344202,1725.0
344214,1946.0
344224,1946.0
344234,1946.0
344244,1946.0
344254,1946.0
344267,1946.0
344277,1800.0
344287,1800.0
344297,1800.0
344307,1800.0
344319,1800.0
344329,1800.0
344339,1800.0
344349,1622.0
344359,1622.0
344369,1622.0
344379,1622.0
344389,1622.0
344401,2692.0
344411,2692.0
344421,2692.0
344431,2692.0
344441,2692.0
344453,2692.0
344463,1799.0
344473,1799.0
344483,1799.0
344493,1799.0
344505,1799.0
344515,1799.0
344525,1799.0
344535,1640.0
344545,1640.0
344558,1640.0
344568,1640.0
344578,1640.0
344588,1640.0
344598,1912.0
344611,1912.0
344621,1912.0
344631,1912.0
344641,1912.0
344651,1912.0
344663,1912.0
344673,1622.0
344683,1622.0
344693,1622.0
344703,1622.0
344715,1622.0
344725,1622.0
344735,1946.0
344751,1946.0
344761,1946.0
344773,1946.0
344783,1946.0
344796,2334.0
344806,2334.0
344816,2334.0
344826,2334.0
344836,2334.0
344851,1771.0
344861,1771.0
344871,1771.0
344881,1771.0
344891,1771.0
344903,1771.0
344913,1771.0
344923,1737.0
344933,1737.0
344943,1737.0
344955,1737.0
344972,2327.0
344982,2327.0
344992,2327.0
345002,2327.0
345013,2327.0
345023,2327.0
345036,1876.0
345046,1876.0
345056,1876.0
345066,1876.0
345076,1876.0
345088,1876.0
345098,1876.0
345108,1754.0
345118,1754.0
345128,1754.0
345141,1754.0
345151,1754.0
345164,1754.0
345174,1762.0
345184,1762.0
345194,1762.0
345204,1762.0
345216,1762.0
345226,1762.0
345236,1762.0
345248,1590.0
345258,1590.0
345271,1590.0
345281,1590.0
345291,1590.0
345301,1590.0
345311,2087.0
345324,2087.0
345334,2087.0
345344,2087.0
345356,2087.0
345366,2087.0
345376,1764.0
345386,1764.0
345396,1764.0
345410,1764.0
345420,1764.0
345430,1764.0
345440,1826.0
345450,1826.0
345463,1826.0
345473,1826.0
345483,1826.0
345493,1826.0
345503,1826.0
345515,1759.0
345525,1759.0
345543,1759.0
345553,1759.0
345563,1759.0
345574,1777.0
345584,1777.0
345595,1777.0
345605,1777.0
345619,1777.0
345629,1777.0
345639,1777.0
345649,1648.0
345659,1648.0
345672,1648.0
345682,1648.0
345692,1648.0
345702,1648.0
345712,1927.0
345725,1927.0
345735,1927.0
345745,1927.0
345755,1927.0
345765,1927.0
345775,1927.0
345785,1617.0
345795,1617.0
345808,1617.0
345818,1617.0
345828,1617.0
345838,1617.0
345848,2005.0
345860,2005.0
345870,2005.0
345880,2005.0
345890,2005.0
345900,2005.0
345912,1736.0
345922,1736.0
345932,1736.0
345942,1736.0
345952,1736.0
345965,1736.0
345975,1736.0
345985,1790.0
346003,1790.0
346013,1790.0
346023,1790.0
346033,1790.0
346043,1790.0
346053,1656.0
346063,1656.0
346076,1656.0
346086,1656.0
346096,1656.0
346106,1656.0
346116,1965.0
346129,1965.0
346139,1965.0
346149,1965.0
346161,1965.0
346171,1965.0
346181,1965.0
346191,1561.0
346201,1561.0
346215,1561.0
346225,1561.0
346235,1561.0
346245,1561.0
346255,2036.0
346268,2036.0
346278,2036.0
346288,2036.0
346298,2036.0
346308,2036.0
346320,1809.0
346330,1809.0
346340,1809.0
346350,1809.0
346360,1809.0
346372,1809.0
346382,1809.0
346392,1704.0
346402,1704.0
346412,1704.0
346424,1704.0
346434,1704.0
346444,1704.0
346454,1783.0
346464,1783.0
346477,1783.0
346487,1783.0
346497,1783.0
346507,1783.0
346517,1783.0
346529,1769.0
346539,1769.0
346549,1769.0
346559,1769.0
346569,1769.0
346579,1769.0
346589,1819.0
346599,1819.0
346611,1819.0
346621,1819.0
346631,1819.0
346641,1819.0
346651,1819.0
346663,1684.0
346673,1684.0
346683,1684.0
346693,1684.0
346703,1684.0
