Timestamp (ms),F_GPS_LATITUDE
5567906,43.26106
5568009,43.26106
5568110,43.26106
5568216,43.26106
5568316,43.26106
5568416,43.26106
5568519,43.26106
5568619,43.26106
5568719,43.26106
5568819,43.26106
5568919,43.26106
5569021,43.26106
5569121,43.26106
5569221,43.26106
5569321,43.26106
5569421,43.26106
5569523,43.26106
5569623,43.26106
5569723,43.26106
5569824,43.26106
5569925,43.26106
5570033,43.26106
5570136,43.26106
5570237,43.26106
5570338,43.26106
5570438,43.26106
5570540,43.26106
5570641,43.26106
5570741,43.26106
5570842,43.26106
5570941,43.26106
5571044,43.26106
5571145,43.26106
5571244,43.26106
5571345,43.26106
5571445,43.26106
5571548,43.26106
5571648,43.26106
5571748,43.26106
5571849,43.26106
5571949,43.26106
5572051,43.26106
5572157,43.26106
5572257,43.26106
5572360,43.26106
5572460,43.26106
5572563,43.26106
5572668,43.26106
5572771,43.26106
5572880,43.26106
5572979,43.26106
5573081,43.26106
5573181,43.26106
5573281,43.26106
5573381,43.26106
5573481,43.26106
5573584,43.26106
5573686,43.26106
5573786,43.26106
5573886,43.26106
5573986,43.26106
5574088,43.26106
5574188,43.26106
5574287,43.26106
5574387,43.26106
5574487,43.26106
5574590,43.26106
5574690,43.26106
5574791,43.26106
5574890,43.26106
5574991,43.26106
5575096,43.26106
5575195,43.26106
5575295,43.26106
5575395,43.26106
5575495,43.26106
5575595,43.26106
5575697,43.26106
5575797,43.26106
5575897,43.26106
5575999,43.26106
5576103,43.26106
5576203,43.26106
5576302,43.26106
5576405,43.26106
5576506,43.26106
5576608,43.26106
5576708,43.26106
5576808,43.26106
5576907,43.26106
5577010,43.26106
5577114,43.26106
5577213,43.26106
5577314,43.26106
5577414,43.26106
5577516,43.26106
5577619,43.26106
5577719,43.26106
5577819,43.26106
5577918,43.26106
5578026,43.26106
5578126,43.26105
5578226,43.26105
5578327,43.26105
5578426,43.261044
5578531,43.261044
5578631,43.261044
5578731,43.261044
5578832,43.261036
5578931,43.261036
5579034,43.261036
5579138,43.261036
5579238,43.261036
5579338,43.26103
5579438,43.26103
5579540,43.26103
5579641,43.26102
5579741,43.26102
5579841,43.26102
5579941,43.26102
5580043,43.26101
5580142,43.26101
5580242,43.26101
5580342,43.261
5580442,43.261
5580546,43.261
5580646,43.261
5580746,43.260994
5580846,43.260994
5580946,43.260994
5581084,43.260986
5581186,43.260986
5581286,43.260986
5581286,43.260986
5581386,43.260986
5581486,43.26098
5581589,43.26098
5581689,43.26098
5581790,43.26097
5581890,43.26097
5581990,43.260963
5582093,43.260963
5582194,43.260952
5582294,43.260952
5582394,43.260944
5582495,43.260944
5582597,43.260937
5582698,43.260937
5582799,43.26093
5582899,43.26092
5582999,43.26092
5583101,43.260914
5583203,43.260906
5583303,43.260906
5583403,43.2609
5583504,43.2609
5583606,43.260887
5583707,43.260887
5583807,43.26088
5583907,43.26088
5584008,43.26088
5584111,43.26087
5584212,43.26087
5584312,43.26087
5584412,43.260864
5584513,43.260864
5584615,43.260857
5584716,43.260857
5584816,43.26085
5584917,43.26085
5585016,43.26084
5585119,43.26084
5585219,43.26083
5585320,43.26083
5585421,43.260822
5585520,43.260815
5585623,43.260815
5585723,43.260815
5585833,43.260807
5585938,43.2608
5586038,43.26079
5586139,43.260784
5586239,43.260784
5586339,43.260777
5586439,43.260777
5586539,43.260765
5586639,43.260765
5586739,43.260765
5586839,43.260757
5586939,43.260757
5587039,43.26075
5587139,43.26075
5587239,43.26075
5587339,43.26075
5587451,43.260742
5587550,43.260742
5587651,43.260742
5587750,43.260742
5587851,43.260742
5587957,43.260742
5588059,43.260742
5588158,43.260735
5588259,43.260735
5588359,43.260735
5588498,43.260735
5588597,43.260735
5588697,43.260735
5588797,43.260735
5588897,43.260735
5588997,43.260735
5589097,43.260735
5589197,43.260735
5589297,43.260735
5589397,43.260742
5589497,43.260742
5589599,43.260742
5589699,43.260742
5589800,43.260742
5589900,43.260742
5590001,43.260742
5590102,43.260742
5590203,43.260742
5590303,43.260742
5590403,43.26075
5590503,43.26075
5590604,43.26075
5590705,43.26075
5590809,43.26075
5590910,43.26075
5591011,43.26075
5591113,43.260757
5591213,43.260757
5591314,43.260757
5591414,43.260757
5591515,43.260765
5591616,43.260765
5591717,43.260765
5591817,43.260765
5591918,43.260765
5592018,43.260777
5592121,43.260777
5592222,43.260777
5592322,43.260777
5592422,43.260784
5592523,43.260784
5592626,43.260784
5592727,43.260784
5592827,43.26079
5592927,43.26079
5593028,43.26079
5593130,43.2608
5593230,43.2608
5593331,43.2608
5593432,43.260807
5593531,43.260807
5593634,43.260807
5593734,43.260815
5593835,43.260815
5593936,43.260815
5594053,43.260822
5594155,43.260822
5594254,43.260822
5594355,43.260822
5594455,43.260822
5594554,43.26083
5594654,43.26083
5594754,43.26083
5594854,43.26083
5594954,43.26084
5595057,43.26084
5595156,43.26084
5595256,43.26085
5595356,43.26085
5595456,43.26085
5595559,43.260857
5595659,43.260857
5595759,43.260857
5595859,43.260864
5595959,43.260864
5596062,43.260864
5596161,43.26087
5596261,43.26087
5596361,43.26088
5596461,43.26088
5596562,43.26088
5596662,43.260887
5596765,43.260887
5596866,43.2609
5596968,43.2609
5597097,43.2609
5597196,43.2609
5597317,43.260914
5597396,43.260914
5597496,43.260914
